clip_id,frame,label
heavybag,36,jab
heavybag,66,jab
heavybag,93,jab
heavybag,128,jab
heavybag,216,jab
heavybag,243,jab
heavybag,272,jab
heavybag,303,jab
heavybag,394,jab
heavybag,424,jab
heavybag,460,jab
heavybag,500,jab
heavybag,509,jab
heavybag,538,jab
pro_shadow_01,3,jab
pro_shadow_01,89,jab body
pro_shadow_01,96,jab
pro_shadow_01,113,jab
pro_shadow_01,123,jab
pro_shadow_01,165,jab southpaw
pro_shadow_01,205,jab southpaw
pro_shadow_01,269,jab
pro_shadow_01,280,jab
pro_shadow_01,330,jab
pro_shadow_01,337,jab
pro_shadow_01,364,jab
pro_shadow_01,387,jab
pro_shadow_01,390,straight
pro_shadow_01,410,jab
pro_shadow_01,461,rear uppercut
pro_shadow_01,470,lead uppercut
pro_shadow_01,498,jab
